phish_id,url,phish_detail_url,submission_time,verified,verification_time,online,target
1624122,http://www.thegrillonthesquare.co.uk/language/es-ES/systemvodaupdate/login_index.html,http://www.phishtank.com/phish_detail.php?phish_id=1624122,2012-11-26T14:14:57+00:00,yes,2012-11-26T14:25:45+00:00,yes,Vodafone
1624120,http://sistemafidelidade2012.com/cadastramento/vc3099123-2012/sistema-seguro.html,http://www.phishtank.com/phish_detail.php?phish_id=1624120,2012-11-26T14:12:02+00:00,yes,2012-11-26T14:25:14+00:00,yes,Cielo
1624113,http://www.cordonneriedaujourdhui-evreux.com/components/com_media/recadastramento.php,http://www.phishtank.com/phish_detail.php?phish_id=1624113,2012-11-26T13:53:58+00:00,yes,2012-11-26T14:24:11+00:00,yes,Banco De Brasil
1624112,http://65.60.51.66/~direcion/arqA/htmls/www.casasbahia.com.br/CentraldeAtendimento/atendimento.html,http://www.phishtank.com/phish_detail.php?phish_id=1624112,2012-11-26T13:50:17+00:00,yes,2012-11-26T14:15:28+00:00,yes,Other
1624107,http://174.37.144.224/~credicon/includes/js/dtree/www.telstra.com.au/billing/action/payment/onlinepayment/update/onlinepayment.php,http://www.phishtank.com/phish_detail.php?phish_id=1624107,2012-11-26T13:38:33+00:00,yes,2012-11-26T14:06:24+00:00,yes,Other
1624106,http://tempremios.bigteo.net/PROMOCAO/CADASTRO/CLIENTES/REGISTRO/CIELOBRASIL/ADMINISTRACAO/CDL/,http://www.phishtank.com/phish_detail.php?phish_id=1624106,2012-11-26T13:38:11+00:00,yes,2012-11-26T14:15:59+00:00,yes,Cielo
1624105,http://tempremios2012.beepworld.it/files/cadastro.html,http://www.phishtank.com/phish_detail.php?phish_id=1624105,2012-11-26T13:37:54+00:00,yes,2012-11-26T14:15:59+00:00,yes,Cielo
1624102,http://phics-it.co.uk/plugins/system/remember/sysvodaupda/login_index.html,http://www.phishtank.com/phish_detail.php?phish_id=1624102,2012-11-26T13:34:47+00:00,yes,2012-11-26T14:15:59+00:00,yes,Vodafone
1624101,http://brogaardtraef.dk/templates/beez/xsonline.htm,http://www.phishtank.com/phish_detail.php?phish_id=1624101,2012-11-26T13:34:00+00:00,yes,2012-11-26T14:17:02+00:00,yes,Other
1624100,http://cielocartoes.com/promocao/,http://www.phishtank.com/phish_detail.php?phish_id=1624100,2012-11-26T13:27:56+00:00,yes,2012-11-26T13:47:01+00:00,yes,Cielo
1624099,http://cielocartoes.com/promocao,http://www.phishtank.com/phish_detail.php?phish_id=1624099,2012-11-26T13:27:55+00:00,yes,2012-11-26T13:46:01+00:00,yes,Cielo
1624097,http://www.bimmer-deals.com/,http://www.phishtank.com/phish_detail.php?phish_id=1624097,2012-11-26T13:21:49+00:00,yes,2012-11-26T13:31:38+00:00,yes,Other
1624096,http://www.kst365.com/js/?secure.runescape.com/m=weblogin/loginform.ws?mod=www&amp;bjurezwssl=0&amp;dest,http://www.phishtank.com/phish_detail.php?phish_id=1624096,2012-11-26T13:19:52+00:00,yes,2012-11-26T13:35:47+00:00,yes,RuneScape
1624095,http://azhin.com/wp-content/languages/055/e78884b3bd8ee7bb4683b471f64f14d8/,http://www.phishtank.com/phish_detail.php?phish_id=1624095,2012-11-26T13:19:36+00:00,yes,2012-11-26T13:45:30+00:00,yes,Other
1624094,http://azhin.com/wp-content/languages/055/,http://www.phishtank.com/phish_detail.php?phish_id=1624094,2012-11-26T13:19:35+00:00,yes,2012-11-26T13:51:33+00:00,yes,Other
1624093,http://www.spg-pneus.com/skyfall/d4f311b0269cc100ba67c823e20fd65f/,http://www.phishtank.com/phish_detail.php?phish_id=1624093,2012-11-26T13:18:54+00:00,yes,2012-11-26T13:52:35+00:00,yes,Nets
1624092,http://www.spg-pneus.com/skyfall/,http://www.phishtank.com/phish_detail.php?phish_id=1624092,2012-11-26T13:18:53+00:00,yes,2012-11-26T13:52:36+00:00,yes,Nets
1624090,http://superpromocao.net78.net/explosaodepremiosonline/master/Visa/90%20dias/explosaodepremiosonline/,http://www.phishtank.com/phish_detail.php?phish_id=1624090,2012-11-26T13:17:10+00:00,yes,2012-11-26T13:46:01+00:00,yes,Mastercard
